seed,experiment,config,alpha_decay,u2_enabled,replay_buffer_size,num_facts,recall,forgetting,drift,variance_mean,variance_min,variance_max,runtime_sec,width
202,u2_ablation_scaling,"width=32,num_facts=100",0.02,False,0,100,0.02,0.6799999999999999,7.827012538909912,0.008089225739240646,0.0007556083146482706,0.00998601783066988,3.5943222045898438,32
303,u2_ablation_scaling,"width=32,num_facts=100",0.02,False,0,100,0.02,0.64,7.912400722503662,0.007769037503749132,0.0007565892301499844,0.009971627034246922,4.011746168136597,32
404,u2_ablation_scaling,"width=32,num_facts=100",0.02,False,0,100,0.02,0.6699999999999999,8.003817319869995,0.008147401735186577,0.0007601173711009324,0.009955943562090397,3.361560583114624,32
505,u2_ablation_scaling,"width=32,num_facts=100",0.02,False,0,100,0.04,0.6,7.966893911361694,0.008253145031630993,0.0007547469576820731,0.009902550838887691,3.390275716781616,32
606,u2_ablation_scaling,"width=32,num_facts=100",0.02,False,0,100,0.01,0.73,7.897371053695679,0.008194895461201668,0.0007549849688075483,0.009972929954528809,3.269409656524658,32
707,u2_ablation_scaling,"width=32,num_facts=100",0.02,False,0,100,0.01,0.67,7.88394832611084,0.007883978076279163,0.0007581803947687149,0.009956534951925278,3.2386345863342285,32
808,u2_ablation_scaling,"width=32,num_facts=100",0.02,False,0,100,0.02,0.66,7.8740410804748535,0.00809471309185028,0.0007556117489002645,0.009966498240828514,3.225684881210327,32
909,u2_ablation_scaling,"width=32,num_facts=100",0.02,False,0,100,0.01,0.6799999999999999,7.837194919586182,0.008081003092229366,0.0007566644926555455,0.009962785989046097,3.369293212890625,32
42,u2_ablation_scaling,"width=32,num_facts=200",0.02,False,0,200,0.005,0.555,11.296095132827759,0.009066743776202202,0.000844521215185523,0.009969436563551426,6.5959813594818115,32
101,u2_ablation_scaling,"width=32,num_facts=200",0.02,False,0,200,0.01,0.58,11.10935115814209,0.00876480434089899,0.0007547733839601278,0.009955800138413906,6.8267199993133545,32
202,u2_ablation_scaling,"width=32,num_facts=200",0.02,False,0,200,0.01,0.615,11.211045026779175,0.008826709352433681,0.0007616183720529079,0.009985903277993202,7.970521926879883,32
303,u2_ablation_scaling,"width=32,num_facts=200",0.02,False,0,200,0.005,0.48,10.928573369979858,0.00900907814502716,0.0008131687063723803,0.009961831383407116,7.256094217300415,32
404,u2_ablation_scaling,"width=32,num_facts=200",0.02,False,0,200,0.005,0.54,11.378141403198242,0.00897973496466875,0.000766621669754386,0.009975333698093891,7.082515239715576,32
505,u2_ablation_scaling,"width=32,num_facts=200",0.02,False,0,200,0.005,0.535,10.819473266601562,0.008945249952375889,0.000844320806208998,0.009982161223888397,6.88971209526062,32
606,u2_ablation_scaling,"width=32,num_facts=200",0.02,False,0,200,0.005,0.485,10.895223140716553,0.00884323287755251,0.000774597458075732,0.009956846944987774,8.289135694503784,32
707,u2_ablation_scaling,"width=32,num_facts=200",0.02,False,0,200,0.005,0.55,10.950721979141235,0.008977601304650307,0.0007547170971520245,0.009981179609894753,9.429941892623901,32
808,u2_ablation_scaling,"width=32,num_facts=200",0.02,False,0,200,0.005,0.53,10.942930936813354,0.008937671780586243,0.0007602629484608769,0.009970271959900856,9.373072862625122,32
909,u2_ablation_scaling,"width=32,num_facts=200",0.02,False,0,200,0.01,0.575,10.81807541847229,0.008894448168575764,0.0007929154671728611,0.00996237900108099,7.044241428375244,32
42,u2_ablation_scaling,"width=32,num_facts=400",0.02,False,0,400,0.0025,0.49,15.342733383178711,0.009248665533959866,0.0008450399618595839,0.009979769587516785,14.502757549285889,32
101,u2_ablation_scaling,"width=32,num_facts=400",0.02,False,0,400,0.0025,0.54,15.739184141159058,0.009217650629580021,0.0008452603942714632,0.009982443414628506,14.811712265014648,32
202,u2_ablation_scaling,"width=32,num_facts=400",0.02,False,0,400,0.0025,0.5225000000000001,15.89757490158081,0.009227965958416462,0.0007750280201435089,0.009988486766815186,32.29775023460388,32
303,u2_ablation_scaling,"width=32,num_facts=400",0.02,False,0,400,0.005,0.505,15.900779247283936,0.009212853386998177,0.0007547170971520245,0.009982477873563766,25.836682558059692,32
404,u2_ablation_scaling,"width=32,num_facts=400",0.02,False,0,400,0.0025,0.4925,15.498628616333008,0.009211402386426926,0.0007924269302748144,0.009973274543881416,15.616971731185913,32
505,u2_ablation_scaling,"width=32,num_facts=400",0.02,False,0,400,0.0025,0.53,16.21196436882019,0.009226693771779537,0.0007899580523371696,0.009982083924114704,18.22169041633606,32
606,u2_ablation_scaling,"width=32,num_facts=400",0.02,False,0,400,0.0025,0.535,15.877360343933105,0.009141182526946068,0.0007554556941613555,0.009991095401346684,14.589869022369385,32
707,u2_ablation_scaling,"width=32,num_facts=400",0.02,False,0,400,0.0025,0.515,15.627104759216309,0.009332384914159775,0.0008371269796043634,0.009990120306611061,14.972618818283081,32
808,u2_ablation_scaling,"width=32,num_facts=400",0.02,False,0,400,0.0025,0.51,15.887540102005005,0.009250635281205177,0.0008451108587905765,0.009973512962460518,15.129212141036987,32
909,u2_ablation_scaling,"width=32,num_facts=400",0.02,False,0,400,0.0025,0.5175000000000001,15.599411725997925,0.009156234562397003,0.0008450041641481221,0.009971852414309978,21.694703578948975,32
