seed,experiment,config,alpha_decay,u2_enabled,replay_buffer_size,num_facts,recall,forgetting,drift,variance_mean,variance_min,variance_max,runtime_sec,width
101,width_scaling,"width=128,num_facts=800",0.02,True,0,800,0.00125,0.42000000000000004,27.66874647140503,0.009992964565753937,0.008230729959905148,0.009999977424740791,62.08556604385376,128
202,width_scaling,"width=128,num_facts=800",0.02,True,0,800,0.0,0.45125,27.489539623260498,0.009993049316108227,0.00856783241033554,0.009999977424740791,62.06926465034485,128
42,width_scaling,"width=256,num_facts=5",0.02,True,0,5,0.2,0.2,5.792696535587311,0.009958094917237759,0.004848826210945845,0.009999999776482582,0.3302571773529053,256
101,width_scaling,"width=256,num_facts=5",0.02,True,0,5,0.6,-0.19999999999999996,5.6840134263038635,0.00995705183595419,0.004612434655427933,0.009999998845160007,0.33224940299987793,256
202,width_scaling,"width=256,num_facts=5",0.02,True,0,5,0.2,0.39999999999999997,5.53047251701355,0.00995718315243721,0.004747538827359676,0.009999999776482582,0.3849208354949951,256
42,width_scaling,"width=256,num_facts=10",0.02,True,0,10,0.3,-0.19999999999999998,6.952563285827637,0.009958570823073387,0.006721856538206339,0.009999992325901985,0.6665630340576172,256
101,width_scaling,"width=256,num_facts=10",0.02,True,0,10,0.3,-0.09999999999999998,6.786160349845886,0.0099561158567667,0.005885499529540539,0.009999992325901985,0.6548595428466797,256
202,width_scaling,"width=256,num_facts=10",0.02,True,0,10,0.1,0.1,6.789351224899292,0.009958388283848763,0.006268754601478577,0.009999995119869709,0.6396961212158203,256
42,width_scaling,"width=256,num_facts=20",0.02,True,0,20,0.1,-0.05,8.396526098251343,0.009965035133063793,0.00737719377502799,0.009999977424740791,1.2612743377685547,256
101,width_scaling,"width=256,num_facts=20",0.02,True,0,20,0.1,-0.05,8.206092834472656,0.009964357130229473,0.006810991559177637,0.009999977424740791,1.3581433296203613,256
202,width_scaling,"width=256,num_facts=20",0.02,True,0,20,0.05,0.09999999999999999,7.691994667053223,0.009963573887944221,0.0065522813238203526,0.009999977424740791,1.2936334609985352,256
42,width_scaling,"width=256,num_facts=50",0.02,True,0,50,0.02,-0.02,10.902230739593506,0.009979619644582272,0.007959083653986454,0.009999977424740791,3.5526044368743896,256
101,width_scaling,"width=256,num_facts=50",0.02,True,0,50,0.06,-0.06,10.00669002532959,0.00997963733971119,0.007878261618316174,0.009999977424740791,3.3341639041900635,256
202,width_scaling,"width=256,num_facts=50",0.02,True,0,50,0.04,-0.02,10.166025161743164,0.009979638271033764,0.007935941219329834,0.009999977424740791,3.322577953338623,256
42,width_scaling,"width=256,num_facts=100",0.02,True,0,100,0.01,0.0,14.657887935638428,0.009982178919017315,0.008165747858583927,0.009999977424740791,6.976144552230835,256
101,width_scaling,"width=256,num_facts=100",0.02,True,0,100,0.01,-0.01,13.897026538848877,0.009982326067984104,0.008258880116045475,0.009999977424740791,7.004701852798462,256
202,width_scaling,"width=256,num_facts=100",0.02,True,0,100,0.01,0.0,13.884329795837402,0.009982497431337833,0.008341832086443901,0.009999977424740791,6.968457460403442,256
42,width_scaling,"width=256,num_facts=200",0.02,True,0,200,0.005,-0.005,20.274632453918457,0.009985524229705334,0.00819630827754736,0.009999977424740791,14.885609865188599,256
101,width_scaling,"width=256,num_facts=200",0.02,True,0,200,0.005,-0.005,20.495600700378418,0.009985515847802162,0.008119851350784302,0.009999977424740791,15.849647760391235,256
202,width_scaling,"width=256,num_facts=200",0.02,True,0,200,0.005,0.0,20.532835960388184,0.009985567070543766,0.00803448911756277,0.009999977424740791,15.246039152145386,256
42,width_scaling,"width=256,num_facts=400",0.02,True,0,400,0.0025,-0.0025,25.160871505737305,0.009989377111196518,0.008374654687941074,0.009999977424740791,33.1775426864624,256
101,width_scaling,"width=256,num_facts=400",0.02,True,0,400,0.0025,-0.0025,25.32840633392334,0.009989418089389801,0.008261113427579403,0.009999977424740791,33.15698218345642,256
202,width_scaling,"width=256,num_facts=400",0.02,True,0,400,0.0025,0.0025,25.231224060058594,0.009989112615585327,0.00824097078293562,0.009999977424740791,33.27732872962952,256
42,width_scaling,"width=256,num_facts=800",0.02,True,0,800,0.0,0.00125,31.269359588623047,0.009992814622819424,0.008254162967205048,0.009999977424740791,93.06599068641663,256
101,width_scaling,"width=256,num_facts=800",0.02,True,0,800,0.00125,0.0062499999999999995,31.2442045211792,0.009992964565753937,0.00805639661848545,0.009999977424740791,89.65298414230347,256
202,width_scaling,"width=256,num_facts=800",0.02,True,0,800,0.00125,0.02,31.25348949432373,0.009992941282689571,0.008113479241728783,0.009999977424740791,91.33621573448181,256
