seed,experiment,config,alpha_decay,u2_enabled,replay_buffer_size,num_facts,recall,forgetting,drift,variance_mean,variance_min,variance_max,runtime_sec
404,capacity_wall,num_facts=200,0.02,True,0,200,0.005,0.995,13.267539024353027,0.009934881702065468,0.004154547583311796,0.009999977424740791,8.16748571395874
505,capacity_wall,num_facts=200,0.02,True,0,200,0.005,0.995,13.116209983825684,0.009931044653058052,0.0038154306821525097,0.009999977424740791,7.045543670654297
606,capacity_wall,num_facts=200,0.02,True,0,200,0.005,0.995,13.10093903541565,0.009934882633388042,0.003533534472808242,0.009999977424740791,6.9488279819488525
707,capacity_wall,num_facts=200,0.02,True,0,200,0.005,0.995,12.825718879699707,0.009926778264343739,0.003556296695023775,0.009999977424740791,7.0181565284729
808,capacity_wall,num_facts=200,0.02,True,0,200,0.005,0.995,13.282086849212646,0.00993500929325819,0.00411263108253479,0.009999977424740791,7.131718873977661
909,capacity_wall,num_facts=200,0.02,True,0,200,0.005,0.995,13.196186065673828,0.009934940375387669,0.0035656276158988476,0.009999977424740791,6.626128673553467
42,capacity_wall,num_facts=400,0.02,True,0,400,0.0025,0.9975,18.05296540260315,0.009961798787117004,0.004762645345181227,0.009999977424740791,13.99319076538086
101,capacity_wall,num_facts=400,0.02,True,0,400,0.0025,0.9975,18.02369499206543,0.009961019270122051,0.004471560008823872,0.009999977424740791,13.857574462890625
202,capacity_wall,num_facts=400,0.02,True,0,400,0.0025,0.9975,18.077601671218872,0.009963649325072765,0.004700190853327513,0.009999977424740791,13.814647197723389
303,capacity_wall,num_facts=400,0.02,True,0,400,0.0025,0.9975,17.976401329040527,0.009962632320821285,0.004165872931480408,0.009999977424740791,13.814828395843506
404,capacity_wall,num_facts=400,0.02,True,0,400,0.0025,0.9975,18.006362438201904,0.009961375035345554,0.004640685860067606,0.009999977424740791,14.879323959350586
505,capacity_wall,num_facts=400,0.02,True,0,400,0.0025,0.9975,17.997933864593506,0.009962012059986591,0.0045854379422962666,0.009999977424740791,13.883443117141724
606,capacity_wall,num_facts=400,0.02,True,0,400,0.0025,0.9975,17.89017081260681,0.009964683093130589,0.005675132852047682,0.009999977424740791,13.807063341140747
707,capacity_wall,num_facts=400,0.02,True,0,400,0.0025,0.9975,18.01551628112793,0.009961661882698536,0.004859411623328924,0.009999977424740791,13.875105142593384
808,capacity_wall,num_facts=400,0.02,True,0,400,0.0025,0.9975,17.921443700790405,0.009961996227502823,0.004606074653565884,0.009999977424740791,13.831946611404419
909,capacity_wall,num_facts=400,0.02,True,0,400,0.0025,0.9975,18.08532953262329,0.009962336160242558,0.004146571271121502,0.009999977424740791,13.882693529129028
42,capacity_wall,num_facts=800,0.02,True,0,800,0.00125,0.99875,23.327446937561035,0.009974149987101555,0.003888834500685334,0.009999977424740791,31.149781227111816
101,capacity_wall,num_facts=800,0.02,True,0,800,0.00125,0.99875,22.81571626663208,0.009980907663702965,0.006166982930153608,0.009999977424740791,30.72662925720215
202,capacity_wall,num_facts=800,0.02,True,0,800,0.00125,0.99875,23.312045574188232,0.009975722059607506,0.0045526339672505856,0.009999977424740791,30.87958002090454
303,capacity_wall,num_facts=800,0.02,True,0,800,0.00125,0.99875,22.924481630325317,0.009981520473957062,0.006397015880793333,0.009999977424740791,30.718043088912964
404,capacity_wall,num_facts=800,0.02,True,0,800,0.00125,0.99875,23.306952476501465,0.009977709501981735,0.004978585988283157,0.009999977424740791,34.88757300376892
505,capacity_wall,num_facts=800,0.02,True,0,800,0.00125,0.99875,23.32508420944214,0.009981034323573112,0.006236364133656025,0.009999977424740791,30.83501124382019
606,capacity_wall,num_facts=800,0.02,True,0,800,0.00125,0.99875,23.21076774597168,0.00997519213706255,0.004438006319105625,0.009999977424740791,30.91425585746765
707,capacity_wall,num_facts=800,0.02,True,0,800,0.00125,0.99875,23.227317810058594,0.00997411273419857,0.003983080852776766,0.009999977424740791,30.858276844024658
808,capacity_wall,num_facts=800,0.02,True,0,800,0.00125,0.99875,23.240033388137817,0.009973334148526192,0.003718947060406208,0.009999977424740791,30.942354917526245
909,capacity_wall,num_facts=800,0.02,True,0,800,0.00125,0.99875,23.16837191581726,0.009974328801035881,0.003592901397496462,0.009999977424740791,30.878206729888916
