encoder,norm_mode,space,projection,N,metric,recall_proto,recall_1nn,proto_advantage,mean_lcomp,centroid_top1,centroid_top5,centroid_top10,centroid_top20,exemplar_top1,exemplar_top5,exemplar_top10,exemplar_top20,mean_proto_rank,median_proto_rank,p90_proto_rank,mean_exemplar_rank,median_exemplar_rank,p90_exemplar_rank,linear_probe_svc,linear_probe_lr,margin_p1,margin_p5,margin_p10,margin_p25,margin_p50,margin_p75,margin_p90,z_score,distortion_mean,distortion_median,distortion_p95
e5-small-v2,raw,proj_128d,random,400,L2,0.0025,0.0025,0.0,0.0,0.0025,0.0125,0.025,0.05,0.0025,0.0125,0.025,0.05,199.245,199.5,358.20000000000005,199.5,199.5,359.1,0.0025,0.0025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005480489211020892,0.9999855910914728,0.9999857544898987,0.9999886751174927
e5-small-v2,raw,proj_128d,random,400,Cosine,0.0025,0.0025,0.0,1.9734309747815133,0.0025,0.015,0.0275,0.0525,0.0025,0.0075,0.0175,0.06,196.9525,200.5,354.20000000000005,194.6075,193.0,357.1,0.0025,0.0025,-7.748603820800781e-07,-6.556510925292969e-07,-5.960464477539062e-07,-5.364418029785156e-07,-4.172325134277344e-07,-2.980232238769531e-07,-1.7881393432617188e-07,3.7771637607062316,0.9999855910914728,0.9999857544898987,0.9999886751174927
e5-small-v2,raw,proj_128d,svd,400,L1,0.56,0.56,0.0,1.0450288474559783,0.56,1.0,1.0,1.0,0.56,0.9975,1.0,1.0,0.5275,0.0,1.0,0.555,0.0,1.0,0.5575,0.5525,-0.35907027721405027,-0.2308369755744934,-0.18175199031829833,-0.1018991470336914,0.04665255546569824,0.1943291425704956,0.387966823577881,3.7917726285285047,0.5752405622501622,0.5797009766101837,0.6546306639909745
e5-small-v2,raw,proj_128d,svd,400,L2,0.555,0.5625,-0.007499999999999951,1.0690726371109485,0.555,0.9925,0.9975,1.0,0.5625,0.9975,1.0,1.0,0.6,0.0,1.1000000000000227,0.5425,0.0,1.0,0.5575,0.5525,-0.04331141650676727,-0.023657496273517608,-0.021309974789619445,-0.01144494116306305,0.003950551152229309,0.02178507298231125,0.04249548614025117,2.9403571940108595,0.5752405622501622,0.5797009766101837,0.6546306639909745
e5-small-v2,raw,proj_128d,svd,400,Cosine,0.5525,0.56,-0.007500000000000062,1.2283237865567207,0.5525,0.9925,1.0,1.0,0.56,1.0,1.0,1.0,0.5975,0.0,2.0,0.5425,0.0,1.0,0.5575,0.5525,-0.09035692572593688,-0.05356498956680297,-0.04396827816963196,-0.02257603406906128,0.007510185241699219,0.04745176434516907,0.10147830247879029,2.459489494933397,0.5752405622501622,0.5797009766101837,0.6546306639909745
e5-small-v2,raw,proj_256d,random,400,L1,0.38,0.435,-0.05499999999999999,1.0242747992277146,0.38,0.8525,0.9375,0.9825,0.435,0.8825,0.945,0.99,2.6075,1.0,6.0,1.995,1.0,5.0,0.24,0.2075,-0.10237563073635102,-0.07543376386165619,-0.05793676376342773,-0.034763678908348083,-0.01014360785484314,0.014170527458190918,0.034804350137710584,2.9734322232465873,0.9116473859432281,0.9123172163963318,0.9277899831533432
e5-small-v2,raw,proj_256d,random,400,L2,0.275,0.3075,-0.03249999999999997,1.0562544003129006,0.275,0.585,0.7375,0.8775,0.3075,0.6775,0.815,0.9225,12.1175,2.0,25.100000000000023,5.9675,2.0,13.100000000000023,0.24,0.2075,-0.020886096507310867,-0.01588562987744808,-0.012342128157615661,-0.00786636769771576,-0.0037844181060791016,0.00030527263879776,0.0031291387975215927,2.192621864537592,0.9116473859432281,0.9123172163963318,0.9277899831533432
e5-small-v2,raw,proj_256d,random,400,Cosine,0.2775,0.29,-0.012499999999999956,1.1136150273680687,0.2775,0.6075,0.77,0.885,0.29,0.6725,0.8125,0.92,12.0125,2.0,24.0,6.1475,2.0,16.0,0.24,0.2075,-8.050203323364258e-06,-6.201863288879394e-06,-4.714727401733398e-06,-2.86102294921875e-06,-1.3113021850585938e-06,1.341104507446289e-07,1.0132789611816406e-06,1.539317206906113,0.9116473859432281,0.9123172163963318,0.9277899831533432
e5-small-v2,raw,proj_256d,svd,400,L1,0.56,0.56,0.0,1.0261267225444317,0.56,1.0,1.0,1.0,0.56,0.9975,1.0,1.0,0.535,0.0,1.0,0.55,0.0,1.0,0.555,0.5525,-0.38390018939971926,-0.25328617095947265,-0.1913975715637207,-0.10848569869995117,0.05840468406677246,0.20221781730651855,0.38484168052673356,3.180331560230999,0.5163171309688915,0.5208374857902527,0.6168156564235687
e5-small-v2,raw,proj_256d,svd,400,L2,0.555,0.5625,-0.007499999999999951,1.044929074496031,0.555,0.9925,0.9975,1.0,0.5625,0.995,1.0,1.0,0.6025,0.0,1.1000000000000227,0.55,0.0,1.0,0.555,0.5525,-0.035562281310558316,-0.020711117982864378,-0.017791247367858885,-0.0099000483751297,0.0037101656198501587,0.018984511494636536,0.03502949476242066,2.9353265694255897,0.5163171309688915,0.5208374857902527,0.6168156564235687
e5-small-v2,raw,proj_256d,svd,400,Cosine,0.5525,0.56,-0.007500000000000062,1.1547615197300911,0.5525,0.9925,1.0,1.0,0.56,1.0,1.0,1.0,0.59,0.0,2.0,0.5425,0.0,1.0,0.555,0.5525,-0.07742608726024627,-0.048807913064956666,-0.03801262378692627,-0.020033016800880432,0.00699925422668457,0.04148256778717041,0.08424127101898195,2.4633787209761815,0.5163171309688915,0.5208374857902527,0.6168156564235687
e5-small-v2,l2_normalized,raw,none,400,L1,0.5475,0.555,-0.007500000000000062,1.0472968176007271,0.5475,0.995,0.9975,1.0,0.555,0.995,1.0,1.0,0.615,0.0,2.0,0.5725,0.0,1.0,0.555,0.5525,-0.49745969772338866,-0.38399372100830076,-0.310282564163208,-0.17464947700500488,0.05691862106323242,0.30604684352874756,0.4637394428253174,2.8958620510789808,0.0,0.0,0.0
e5-small-v2,l2_normalized,raw,none,400,L2,0.555,0.5625,-0.007499999999999951,1.038254164457321,0.555,0.9925,0.9975,1.0,0.5625,0.995,1.0,1.0,0.6,0.0,1.1000000000000227,0.55,0.0,1.0,0.555,0.5525,-0.03335506290197372,-0.019262325763702393,-0.016290673613548277,-0.009508468210697174,0.003495261073112488,0.017680205404758453,0.03319831490516663,2.931206614835775,0.0,0.0,0.0
e5-small-v2,l2_normalized,raw,none,400,Cosine,0.555,0.5625,-0.007499999999999951,1.099104000031948,0.555,0.9925,0.9975,1.0,0.5625,0.995,1.0,1.0,0.6,0.0,1.1000000000000227,0.55,0.0,1.0,0.555,0.5525,-0.019902252554893494,-0.009905806183815003,-0.00820409059524536,-0.004739835858345032,0.0016157925128936768,0.00889936089515686,0.020425480604171754,2.304288433379796,0.0,0.0,0.0
e5-small-v2,l2_normalized,proj_128d,random,400,L1,0.26,0.2825,-0.022499999999999964,1.0389662927389145,0.26,0.635,0.775,0.8575,0.2825,0.7,0.8125,0.8775,10.805,2.0,27.100000000000023,8.39,2.0,24.0,0.0025,0.0025,-3.16619873046875e-05,-2.4041533470153807e-05,-1.8578767776489254e-05,-1.0818243026733398e-05,-4.231929779052734e-06,3.129243850708008e-07,4.947185516357422e-06,2.7580814633594195,0.9999855910765642,0.9999857544898987,0.9999886751174927
