N,mode,projection_type,W,recall_at_1,recall_at_5,recall_at_10,mean_rank,mean_margin,p5_margin,mean_gap_ratio,mean_top1_dist,mean_top2_dist,mean_decision_gap,neighbor_recall_at_10,distortion_rate
400,generalization,learned,64,0.845,1.0,1.0,1.21,0.3275527113676071,-0.13252336978912352,1.1781788924367227,2.0157897347211837,2.343342446088791,0.36229593336582183,0.689,0.046047382056713104
400,generalization,random,128,0.7983333333333333,0.9933333333333333,0.9983333333333334,0.0,0.3802800766626994,-0.1858966787656148,0.0,0.0,0.0,0.43050329287846884,0.7688333333333333,0.002771513614182671
400,generalization,svd,128,0.905,1.0,1.0,1.12,0.8632731413841248,-0.13335580825805662,1.2069536995163752,4.519642450809479,5.382915592193603,0.8903113079071044,0.8,0.007910020649433136
400,generalization,learned,128,0.895,1.0,1.0,1.14,0.7589473021030426,-0.09781913757324218,1.202946772277744,4.080169432163238,4.839116734266281,0.8110095989704132,0.7115,0.04756417125463486
400,generalization,random,256,0.8716666666666666,1.0,1.0,0.0,0.8627116433779398,-0.19705344041188555,0.0,0.0,0.0,0.9196641246477762,0.8210000000000001,0.0017440372224276264
400,generalization,svd,256,0.9,1.0,1.0,1.115,1.0148618578910829,-0.21449728012084956,1.139751712872628,7.642910513877869,8.657772371768951,1.0614008808135986,0.727,0.00794741977006197
400,generalization,learned,256,0.875,1.0,1.0,1.145,1.559600031375885,-0.289199686050415,1.1999871038382106,8.302692432403564,9.862292463779449,1.647193877696991,0.722,0.04644550010561943
800,capacity,identity,384,0.93,1.0,1.0,1.085,1.2814067089557648,-0.09529361724853516,1.1381733698472387,10.07335242152214,11.354759130477905,1.3080180072784424,1.0,0.0
800,capacity,random,32,0.5,0.7925,0.8737499999999999,0.0,0.008440329506993293,-0.15067272086938222,0.0,0.0,0.0,0.05994034886360169,0.5597500000000001,0.004038253411029776
800,capacity,svd,32,0.63375,0.92875,0.975,2.30375,0.07390138149261474,-0.1409326136112213,1.052611056496884,1.6804509039223194,1.7543522854149343,0.11799485176801681,0.661125,0.0528825968503952
