N,projection_type,W,recall_at_1,recall_at_5,recall_at_10,mean_rank,median_rank,mean_margin,p5_margin,p10_margin,mean_gap_ratio,p5_gap_ratio,p10_gap_ratio,mean_prototype_density,p5_prototype_density,p10_prototype_density,mean_top1_dist,mean_top2_dist,mean_decision_gap,p5_decision_gap,p10_decision_gap,std_recall_at_1
400,oracle_svd,128,0.945,1.0,1.0,1.08,1.0,0.7835525780916214,-0.04534111022949216,0.11377487182617192,1.1828943312083087,0.9907703701372055,1.021519668930932,5.813112803697586,5.360284233093262,5.469768238067627,4.600819494128228,5.399077972173691,0.7982584780454636,0.05586178302764893,0.13716950416564944,0.0
800,raw,,0.93,1.0,1.0,1.085,1.0,1.2814064717292786,-0.09529533386230468,0.16783504486083992,1.1381733446088662,0.9910076983736757,1.0148211424094484,11.987636202573777,11.201644897460938,11.362478637695313,10.05915972352028,11.367177419662475,1.3080176961421968,0.10952596664428711,0.20359544754028322,0.0
800,random,32,0.5,0.7925,0.8737499999999999,6.168749999999999,1.3333333333333333,0.008440326328078904,-0.1506726920604706,-0.11577980319658915,1.02292503600057,0.8429050842038447,0.8763721543974583,0.9267945073793332,0.7896780212720236,0.8148554424444834,0.8114893054465453,0.8714296581347784,0.059940352688233056,0.0024874786535898845,0.004860838254292806,0.013268069440075553
800,oracle_svd,32,0.63375,0.92875,0.975,2.30125,1.0,0.07390792742371559,-0.1409253180027008,-0.10310282707214355,1.0526199555985556,0.9256653979819425,0.9442307151864623,1.9175256682932378,1.5007138133049012,1.5700350999832153,1.6519710633158684,1.7699647668004035,0.11799370348453522,0.004839867353439332,0.009840917587280276,0.0
800,random,64,0.7308333333333333,0.9529166666666667,0.9795833333333334,1.8975,1.0,0.1298183749616146,-0.12459831237792966,-0.08438106377919515,1.0903325063253764,0.9315190170819712,0.9533086949141002,1.8957960389057795,1.686020457744598,1.728902510801951,1.6209949503839016,1.7869570404787858,0.16596209009488425,0.007142188151677449,0.015748858451843265,0.03149625198160711
800,oracle_svd,64,0.89375,1.0,1.0,1.12375,1.0,0.4138118600845337,-0.0690754771232605,-0.006856179237365719,1.159162385552055,0.9764980527846971,0.9975574095820987,3.4276048877835272,3.0763044714927674,3.129373288154602,2.7177588188648225,3.1496274238824844,0.43186860501766206,0.030077826976776127,0.06287734508514405,0.0
800,random,128,0.8375,0.9899999999999999,0.9970833333333333,1.3229166666666667,1.0,0.3445007871588071,-0.1369483470916748,-0.06182404359181721,1.117989543869225,0.9627818073390307,0.9830989404831959,3.8810376304388043,3.549761195977529,3.6192356745402017,3.284625857373079,3.6612651318311698,0.3766392744580905,0.01859348217646281,0.03636807600657146,0.02094138645521511
800,oracle_svd,128,0.9325,1.0,1.0,1.08125,1.0,0.7150137081742287,-0.022467875480651853,0.07045941352844239,1.1681848389117693,0.9958219267179454,1.0137446198421787,5.759645830392838,5.35073606967926,5.422201347351074,4.59217297822237,5.317327052354813,0.7251540741324425,0.0434314250946045,0.08778929710388184,0.0
1600,raw,,0.92625,0.999375,1.0,1.101875,1.0,1.222805682718754,-0.08420343399047851,0.1206096649169922,1.1314980612910528,0.9926403299174095,1.0113321698220736,11.852471762299537,11.139139127731323,11.298870182037353,10.099622107446194,11.346864789128304,1.2472426816821098,0.0968055248260498,0.18634443283081056,0.0
1600,random,32,0.45249999999999996,0.7366666666666667,0.8304166666666667,9.000833333333333,2.0,-0.006125615599254767,-0.16467541456222534,-0.12978801727294922,1.0050195162854343,0.8253999993888804,0.8620954083739116,0.9044280224914353,0.7708538790543873,0.7940731902917225,0.8014009131615359,0.855165964923799,0.05376505176226298,0.0022437731424967446,0.004524443546930949,0.013984738705698685
